epoch,cpu_usage,memory_usage,elapsed_time,total_training_time,average_cpu_usage,average_memory_usage
1,0.0,4850.62890625,212.52933311462402,2830.470106601715,550.7133333333333,4638.17421875
2,595.6,4853.42578125,398.3997414112091,2830.470106601715,550.7133333333333,4638.17421875
3,613.3,4855.3203125,578.7852530479431,2830.470106601715,550.7133333333333,4638.17421875
4,606.6,4855.41015625,761.4832003116608,2830.470106601715,550.7133333333333,4638.17421875
5,568.8,4854.8203125,953.771301984787,2830.470106601715,550.7133333333333,4638.17421875
6,574.2,4856.61328125,1145.2780525684357,2830.470106601715,550.7133333333333,4638.17421875
7,588.2,4857.61328125,1332.5090866088867,2830.470106601715,550.7133333333333,4638.17421875
8,583.7,4858.7890625,1521.0429074764252,2830.470106601715,550.7133333333333,4638.17421875
9,595.2,4646.55859375,1707.1567606925964,2830.470106601715,550.7133333333333,4638.17421875
10,583.2,4533.05859375,1895.06698346138,2830.470106601715,550.7133333333333,4638.17421875
11,586.2,4527.19921875,2083.1701095104218,2830.470106601715,550.7133333333333,4638.17421875
12,584.2,4262.6171875,2273.1949915885925,2830.470106601715,550.7133333333333,4638.17421875
13,598.2,4264.01953125,2457.5768263339996,2830.470106601715,550.7133333333333,4638.17421875
14,594.3,4248.4296875,2642.8079233169556,2830.470106601715,550.7133333333333,4638.17421875
15,589.0,4248.109375,2830.4671082496643,2830.470106601715,550.7133333333333,4638.17421875
