epoch,cpu_usage,memory_usage,elapsed_time,total_training_time,average_cpu_usage,average_memory_usage
1,0.0,10019.51953125,250.97202062606812,2676.4784314632416,613.1866666666667,9731.066145833332
2,647.0,11944.703125,427.66656041145325,2676.4784314632416,613.1866666666667,9731.066145833332
3,644.0,10179.234375,604.1483612060547,2676.4784314632416,613.1866666666667,9731.066145833332
4,662.9,10182.13671875,776.085075378418,2676.4784314632416,613.1866666666667,9731.066145833332
5,661.8,10184.2109375,947.6777763366699,2676.4784314632416,613.1866666666667,9731.066145833332
6,645.1,9338.42578125,1123.3649597167969,2676.4784314632416,613.1866666666667,9731.066145833332
7,665.2,9340.9921875,1294.9262108802795,2676.4784314632416,613.1866666666667,9731.066145833332
8,651.8,9338.390625,1469.412488937378,2676.4784314632416,613.1866666666667,9731.066145833332
9,663.2,9345.74609375,1641.9032649993896,2676.4784314632416,613.1866666666667,9731.066145833332
10,660.1,9347.07421875,1814.30646109581,2676.4784314632416,613.1866666666667,9731.066145833332
11,664.0,9348.37890625,1985.604796409607,2676.4784314632416,613.1866666666667,9731.066145833332
12,656.5,9350.15234375,2158.534609079361,2676.4784314632416,613.1866666666667,9731.066145833332
13,656.3,9341.95703125,2331.266485452652,2676.4784314632416,613.1866666666667,9731.066145833332
14,665.0,9351.9296875,2502.89471411705,2676.4784314632416,613.1866666666667,9731.066145833332
15,654.9,9353.140625,2676.4643228054047,2676.4784314632416,613.1866666666667,9731.066145833332
