epoch,cpu_usage,memory_usage,elapsed_time,total_training_time,average_cpu_usage,average_memory_usage
1,0.0,12376.38671875,234.87775444984436,29879.30111193657,616.4540000000002,7787.15296875
2,633.0,7735.41015625,411.1569242477417,29879.30111193657,616.4540000000002,7787.15296875
3,637.7,7724.984375,587.3679671287537,29879.30111193657,616.4540000000002,7787.15296875
4,663.4,7733.50390625,757.4073870182037,29879.30111193657,616.4540000000002,7787.15296875
5,659.5,7735.10546875,927.7993252277374,29879.30111193657,616.4540000000002,7787.15296875
6,658.3,7737.58984375,1098.4813523292542,29879.30111193657,616.4540000000002,7787.15296875
7,652.6,7735.84765625,1270.841075181961,29879.30111193657,616.4540000000002,7787.15296875
8,660.4,7737.91015625,1441.5888981819153,29879.30111193657,616.4540000000002,7787.15296875
9,661.0,7738.70703125,1612.1005020141602,29879.30111193657,616.4540000000002,7787.15296875
10,659.9,7735.35546875,1782.495103597641,29879.30111193657,616.4540000000002,7787.15296875
11,658.9,7741.6875,1952.463788509369,29879.30111193657,616.4540000000002,7787.15296875
12,680.1,7742.98046875,2118.762702703476,29879.30111193657,616.4540000000002,7787.15296875
13,683.0,7744.34375,2283.856114387512,29879.30111193657,616.4540000000002,7787.15296875
14,679.6,7745.59375,2448.5878944396973,29879.30111193657,616.4540000000002,7787.15296875
15,679.5,7737.5390625,2613.498634338379,29879.30111193657,616.4540000000002,7787.15296875
16,684.5,7748.76953125,2778.1240849494934,29879.30111193657,616.4540000000002,7787.15296875
17,676.9,7751.10546875,2944.25523853302,29879.30111193657,616.4540000000002,7787.15296875
18,680.4,7751.7421875,3109.7346312999725,29879.30111193657,616.4540000000002,7787.15296875
19,7.5,7751.25,18121.319440364838,29879.30111193657,616.4540000000002,7787.15296875
20,676.0,7752.42578125,18288.25714659691,29879.30111193657,616.4540000000002,7787.15296875
21,663.7,7749.765625,18456.876316070557,29879.30111193657,616.4540000000002,7787.15296875
22,680.7,7754.87890625,18621.679703474045,29879.30111193657,616.4540000000002,7787.15296875
23,668.5,7756.34375,18789.777039289474,29879.30111193657,616.4540000000002,7787.15296875
24,667.3,7758.48828125,18958.375215291977,29879.30111193657,616.4540000000002,7787.15296875
25,684.4,7758.5390625,19122.528841733932,29879.30111193657,616.4540000000002,7787.15296875
26,682.7,7750.25390625,19287.25025486946,29879.30111193657,616.4540000000002,7787.15296875
27,675.4,7761.44140625,19453.979027748108,29879.30111193657,616.4540000000002,7787.15296875
28,686.5,7762.07421875,19618.509502649307,29879.30111193657,616.4540000000002,7787.15296875
29,683.2,7762.671875,19783.760756731033,29879.30111193657,616.4540000000002,7787.15296875
30,681.5,7763.76171875,19948.85605096817,29879.30111193657,616.4540000000002,7787.15296875
31,21.0,7764.35546875,25292.468142986298,29879.30111193657,616.4540000000002,7787.15296875
32,652.5,7600.61328125,25464.307984113693,29879.30111193657,616.4540000000002,7787.15296875
33,660.8,7609.71875,25634.95650601387,29879.30111193657,616.4540000000002,7787.15296875
34,657.0,7599.6640625,25805.47806739807,29879.30111193657,616.4540000000002,7787.15296875
35,668.6,7600.30859375,25974.31916618347,29879.30111193657,616.4540000000002,7787.15296875
36,657.4,7601.00390625,26145.451533079147,29879.30111193657,616.4540000000002,7787.15296875
37,657.8,7602.21875,26316.73085308075,29879.30111193657,616.4540000000002,7787.15296875
38,652.9,7597.98046875,26489.054633140564,29879.30111193657,616.4540000000002,7787.15296875
39,669.4,7608.703125,26657.12397813797,29879.30111193657,616.4540000000002,7787.15296875
40,680.7,7609.99609375,26822.94616818428,29879.30111193657,616.4540000000002,7787.15296875
41,680.5,7611.28125,26989.202091932297,29879.30111193657,616.4540000000002,7787.15296875
42,680.5,7612.52734375,27154.434892892838,29879.30111193657,616.4540000000002,7787.15296875
43,679.3,7607.484375,27319.997038841248,29879.30111193657,616.4540000000002,7787.15296875
44,673.4,7615.01171875,27487.445581674576,29879.30111193657,616.4540000000002,7787.15296875
45,680.2,7615.03515625,27652.57686471939,29879.30111193657,616.4540000000002,7787.15296875
46,73.0,7616.80859375,29189.79922580719,29879.30111193657,616.4540000000002,7787.15296875
47,655.9,7617.48046875,29361.05555343628,29879.30111193657,616.4540000000002,7787.15296875
48,651.7,7609.8515625,29533.828401327133,29879.30111193657,616.4540000000002,7787.15296875
49,649.0,7609.1875,29707.1020860672,29879.30111193657,616.4540000000002,7787.15296875
50,655.0,7611.9609375,29879.26912212372,29879.30111193657,616.4540000000002,7787.15296875
